"","name","E1","E2","pvals","strain","pvals_corrected","pvals_corrected_overall"
"1","log","Cd",".YPAD",3.1858652254158e-06,"cdbm_21",5.57526414447764e-06,1.57419222902898e-05
"2","log","Cd",".YPAD",1.04686047316432e-20,"cdbm_22",1.57101931578992e-19,7.32802331215023e-19
"3","log","Cd",".YPAD",3.61748341008623e-17,"cdbm_23",1.51934303223622e-16,1.12543928313794e-15
"4","log","Cd",".YPAD",1.75881243782064e-09,"cdbm_25",3.69350611942334e-09,1.49232570481751e-08
"5","log","Cd",".YPAD",0.00296667891160518,"cdbm_26",0.00415335047624725,0.00798721245432163
"6","log","Cd",".YPAD",0.40516033858857,"cdbm_28",0.40516033858857,0.549813706646847
"7","log","Cd",".YPAD",1.49620887218087e-20,"cdbm_29",1.57101931578992e-19,9.6572713996585e-19
"8","log","Cd",".YPAD",6.24580252920952e-14,"cdbm_30",1.87374075876286e-13,1.14053785316e-12
"9","log","Cd",".YPAD",0.000454937366645894,"cdbm_31",0.000682406049968841,0.00143664431572388
"10","log","Cd",".YPAD",0.0313739464256703,"cdbm_32",0.0387560514670045,0.0635038915603929
"11","log","Cd",".YPAD",0.0488777214917084,"cdbm_36",0.0570240084069931,0.0933120137568978
"12","log","Cd",".YPAD",1.33418713117162e-17,"cdbm_37",7.00448243865099e-17,4.8726834355833e-16
"13","log","Cd",".YPAD",7.41584709853204e-18,"cdbm_39",5.19109296897242e-17,3.11465578138345e-16
"14","log","Cd",".YPAD",4.59235161430092e-10,"cdbm_40",1.07154871000355e-09,4.43399466208365e-09
"15","log","Cd",".YPAD",0.000181366874680836,"cdbm_42",0.000292977259099813,0.0006295379121153
"16","log","Cd",".YPAD",1.21643663353521e-15,"cdbm_43",4.25752821737324e-15,2.62001736453738e-14
"17","log","Cd",".YPAD",2.22549632413657e-11,"cdbm_44",5.8419278508585e-11,2.67059558896389e-10
"18","log","Cd",".YPAD",0.319362574943432,"cdbm_45",0.335330703690603,0.458571902482876
"19","log","Cd",".YPAD",0.201615528532057,"cdbm_46",0.222838215745957,0.313044443561789
"20","log","Cd",".YPAD",0.0223123630436682,"cdbm_47",0.0292849764948145,0.0472100376742602
"21","log","Cd",".YPAD",4.01594367720911e-07,"cdbm_48",7.66680156558102e-07,2.2948249584052e-06
