strain,conc,metal,machine,plate,wells
oly_077,9,CU,BIO2,left,Well 244
oly_077,8,MN,BIO2,right,Well 245
oly_077,2,CD,BIO2,left,Well 246
oly_077,2,NI,BIO2,right,Well 247
oly_077,6,ZN,BIO2,right,Well 248
oly_077,3,NI,BIO2,right,Well 249
oly_077,9,CO,BIO2,left,Well 250
oly_077,5,ZN,BIO2,right,Well 251
oly_077,1,ZN,BIO2,right,Well 252
oly_077,8,CO,BIO2,left,Well 253
oly_077,4,CU,BIO2,left,Well 254
oly_077,5,CD,BIO2,left,Well 255
oly_077,8,ZN,BIO2,right,Well 256
oly_077,1,CU,BIO2,left,Well 257
oly_077,7,CO,BIO2,left,Well 258
oly_077,7,CU,BIO2,left,Well 259
oly_077,1,MN,BIO2,left,Well 260
oly_077,5,CO,BIO2,left,Well 261
oly_077,7,MN,BIO2,right,Well 262
oly_077,9,MN,BIO2,right,Well 263
oly_077,3,CD,BIO2,left,Well 264
oly_077,1,CD,BIO2,left,Well 265
oly_077,1,CD,BIO2,left,Well 266
oly_077,4,ZN,BIO2,right,Well 267
oly_077,4,CO,BIO2,left,Well 268
oly_077,8,MN,BIO2,left,Well 269
oly_077,4,MN,BIO2,left,Well 270
oly_077,4,NI,BIO2,right,Well 271
oly_077,9,CO,BIO2,left,Well 272
oly_077,8,ZN,BIO2,right,Well 273
oly_077,1,CO,BIO2,left,Well 274
oly_077,5,CU,BIO2,left,Well 275
oly_077,3,MN,BIO2,right,Well 276
oly_077,2,CO,BIO2,left,Well 277
oly_077,4,CD,BIO2,left,Well 278
oly_077,10,CU,BIO2,left,Well 279
oly_077,7,MN,BIO2,left,Well 280
blank,blank,left,BIO2,Well 281
blank,blank,left,BIO2,Well 282
blank,blank,left,BIO2,Well 283
blank,blank,left,BIO2,Well 284
blank,blank,left,BIO2,Well 285
blank,blank,left,BIO2,Well 286
blank,blank,left,BIO2,Well 287
blank,blank,left,BIO2,Well 288
blank,blank,left,BIO2,Well 289
blank,blank,left,BIO2,Well 290
blank,blank,left,BIO2,Well 291
blank,blank,left,BIO2,Well 292
blank,blank,left,BIO2,Well 293
blank,blank,left,BIO2,Well 294
blank,blank,left,BIO2,Well 295
blank,blank,left,BIO2,Well 296
blank,blank,left,BIO2,Well 297
blank,blank,left,BIO2,Well 298
blank,blank,left,BIO2,Well 299
blank,blank,left,BIO2,Well 300
