line,CUP,strain,E1,E2,anc_slope,avg_slope,relfit1
MnBM38_S72,0.64,mnbm_38,Mn,Cu,0.007310672062,0.01637358233,0.009062910269
MnBM39_S78,0.82,mnbm_39,Mn,Cu,0.007310672062,0.06298245971,0.05567178765
MnBM42_S84,0.80,mnbm_42,Mn,Cu,0.007310672062,0.01105580539,0.003745133323
MnBM44_S90,0.98,mnbm_44,Mn,Cu,0.007310672062,0.103129437,0.09581876499
NiBM11_S73,0.88,nibm_11,Ni,Cu,0.007310672062,0.008766449619,0.001455777557
NiBM12_S79,0.57,nibm_12,Ni,Cu,0.007310672062,0.01139938793,0.004088715866
NiBM14_S85,0.75,nibm_14,Ni,Cu,0.007310672062,0.007438946129,1.28E-04
NiBM16_S91,0.88,nibm_16,Ni,Cu,0.007310672062,0.01275842502,0.005447752954
NiBM17_S97,0.69,nibm_17,Ni,Cu,0.007310672062,0.05435860648,0.04704793442
NiBM21_S103,0.77,nibm_21,Ni,Cu,0.007310672062,0.01509652785,0.007785855789
NiBM22_S109,0.88,nibm_22,Ni,Cu,0.007310672062,0.01030269892,0.002992026862
NiBM24_S68,0.73,nibm_24,Ni,Cu,0.007310672062,0.008680170513,0.001369498451
NiBM25_S74,0.76,nibm_25,Ni,Cu,0.007310672062,0.04363103538,0.03632036332
NiBM27_S80,0.86,nibm_27,Ni,Cu,0.007310672062,0.01189923348,0.004588561422
NiBM28_S86,0.83,nibm_28,Ni,Cu,0.007310672062,0.01175338779,0.004442715724
NiBM29_S92,0.70,nibm_29,Ni,Cu,0.007310672062,0.008368733082,0.001058061019
NiBM30_S98,0.90,nibm_30,Ni,Cu,0.007310672062,0.01299519438,0.005684522322
NiBM4_S96,0.69,nibm_4,Ni,Cu,0.007310672062,0.0482392503,0.04092857824
NiBM6_S102,0.95,nibm_6,Ni,Cu,0.007310672062,0.007068686091,-2.42E-04
NiBM8_S108,0.84,nibm_8,Ni,Cu,0.007310672062,0.007924050116,6.13E-04
NiBM9_S67,0.79,nibm_9,Ni,Cu,0.007310672062,0.01217447856,0.004863806502
OLY077_S101,1.00,OLY077,.YPAD,Cu,0.007310672062,0.007310672062,0
ZnBM11_S104,0.63,znbm_11,Zn,Cu,0.007310672062,0.1297586978,0.1224480257
ZnBM12_S110,0.73,znbm_12,Zn,Cu,0.007310672062,0.0058977399,-0.001412932162
ZnBM15_S69,0.81,znbm_15,Zn,Cu,0.007310672062,0.1390390058,0.1317283337
ZnBM16_S75,0.77,znbm_16,Zn,Cu,0.007310672062,0.007813682731,5.03E-04
ZnBM17_S81,1.06,znbm_17,Zn,Cu,0.007310672062,0.0998438174,0.09253314534
ZnBM19_S87,0.91,znbm_19,Zn,Cu,0.007310672062,0.009448599414,0.002137927352
ZnBM22_S93,0.94,znbm_22,Zn,Cu,0.007310672062,0.009642490784,0.002331818721
ZnBM23_S99,0.80,znbm_23,Zn,Cu,0.007310672062,0.1355860071,0.128275335
ZnBM25_S105,0.69,znbm_25,Zn,Cu,0.007310672062,0.06712720127,0.05981652921
ZnBM28_S111,0.89,znbm_28,Zn,Cu,0.007310672062,0.01192740188,0.004616729815
ZnBM29_S70,0.80,znbm_29,Zn,Cu,0.007310672062,0.1320506675,0.1247399955
ZnBM31_S76,0.82,znbm_31,Zn,Cu,0.007310672062,0.1322907942,0.1249801221
ZnBM34_S82,0.61,znbm_34,Zn,Cu,0.007310672062,0.1155331846,0.1082225125
ZnBM37_S88,0.60,znbm_37,Zn,Cu,0.007310672062,0.09955679936,0.0922461273
ZnBM38_S94,0.79,znbm_38,Zn,Cu,0.007310672062,0.1080449824,0.1007343104
ZnBM39_S100,0.96,znbm_39,Zn,Cu,0.007310672062,0.1085603852,0.1012497131
ZnBM41_S106,0.87,znbm_41,Zn,Cu,0.007310672062,0.1138743518,0.1065636797
ZnBM42_S112,0.97,znbm_42,Zn,Cu,0.007310672062,0.0247449003,0.01743422824
ZnBM43_S71,0.88,znbm_43,Zn,Cu,0.007310672062,0.1221329442,0.1148222721
ZnBM44_S77,0.65,znbm_44,Zn,Cu,0.007310672062,0.009663718026,0.002353045964
ZnBM45_S83,0.75,znbm_45,Zn,Cu,0.007310672062,0.07232381891,0.06501314684
ZnBM46_S89,0.54,znbm_46,Zn,Cu,0.007310672062,0.02172429173,0.01441361967
ZnBM47_S95,0.75,znbm_47,Zn,Cu,0.007310672062,0.05091925484,0.04360858278
