evoline,petite
ZnBM29,Non-petite (n = 70)
ZnBM30,Non-petite (n = 70)
ZnBM31,Non-petite (n = 70)
ZnBM32,Non-petite (n = 70)
ZnBM33,Non-petite (n = 70)
ZnBM34,Non-petite (n = 70)
ZnBM35,Petite (n = 38)
ZnBM36,Non-petite (n = 70)
ZnBM37,Non-petite (n = 70)
ZnBM38,Non-petite (n = 70)
ZnBM39,Non-petite (n = 70)
ZnBM40,Non-petite (n = 70)
ZnBM41,Non-petite (n = 70)
ZnBM42,Non-petite (n = 70)
ZnBM43,Non-petite (n = 70)
ZnBM44,Non-petite (n = 70)
ZnBM45,Non-petite (n = 70)
ZnBM46,Non-petite (n = 70)
ZnBM47,Non-petite (n = 70)
ZnBM48,Non-petite (n = 70)
ZnBM49,Non-petite (n = 70)
